需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
财智云场景对接,财资数字化,数字化赋能领域,财资数字化,建共享一体化平台，推进BCC1230&EVS730下线,财智云场景对接,2025,2025/07/01,2025/08/31,P0,830,刘晓红,温明皓,,,开发,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,28,,,,,28,37800,,0.0,,,,S03091,云报账,北京思源时代科技有限公司,核心项目新建,自有+供应商承建,通用开发类,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/17,交付与质量中心,,是,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,温明皓,LC研发数字化节点,,,2025/07/17,,,,,,,,,,,,,,,,,,2025/07/17,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,温明皓,,,2025/07/17,
大连园区订单的形式发票由线下打印纸质发票升级为系统生成电子发票，并上传影像系统，同时实现集团内联动记账并自动归档，对接hope和gvs,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通开票能力迭代,2025,2025/03/21,2025/11/30,P3,1130,张小禹,付利华,,,规划,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,28,12,233.33%,,,28,36400,,0.0,,,,S01425,海尔智税通,北京合力中税科技发展有限公司,成熟套件,全供应商承建,通用开发类,1,1,5,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
中长期激励-创客激励清算管理,人力数字化,数字化领域赋能,薪委会数字化,激励数字化专项,中长期激励-创客激励清算管理,2025,2025/05/01,2025/05/30,P0,530,孟方,孟方,孙艳飞,,结项,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,28,,,,,0,0,,0.0,,,,,,青岛三合信息技术有限公司,核心项目重大迭代,自有+供应商承建,通用开发类,1.7,3,1,,6,6:1:1,,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
"SAP开票场景及联动功能迭代升级
①含GVS EPG KAS等6套SAP系统，12个接口迭代升级
②新增GVS 出口类发票开具",财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通开票能力迭代,2025,2025/03/21,2025/09/30,P1,1230,张小禹,付利华,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,27,,,,,27,35100,,0.0,,,,S01425,海尔智税通,北京合力中税科技发展有限公司,成熟套件,全供应商承建,通用开发类,1,1,5,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
"优化预酬场景，：①修改计件模式的增加传输SAP逻辑②实习生上传增加一类情形，<通过实习生上转>发起定岗后的薪酬调整，对接工人入职系统③大学生入职定薪场景迭代④逆向流程操作增加二次确认，⑤增加预酬签字文件的提示
预酬优化需求采购条目费用测算（开发订单）v1.2_预备酬优化-1030全.xlsx",人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,773-预酬系统-预酬标准场景功能优化等,2025,,2025/11/28,P1,1130,李莉,李莉,吴荣坤,,开发设计,,,D类-供应商池,Level1 - 代码补全辅助开发,,人力,26.79,25,107.16%,,,26.79,26790,,0.0,,,,,,,,全供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/13,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,李莉,薪酬时间,,,2025/10/13,,,,,,,,,,,,,,,,,,2025/10/13,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,李莉,,,2025/10/13,
PBC报表逻辑迭代&地产NC系统切换取数源,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,HFM功能优化升级,2025,2025/06/09,2025/07/28,P0,730,陆立垚,高晓艺,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,26.5,,,,,,,2025/06/05,0.0,,,,S00806,海尔全球合并报表平台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,会计数字化子链群,,,2025/11/05,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,,,2025/11/05,
新建SAP开票场景收入类凭证附件归档流程，含GVS EPG等6套SAP系统 12个接口、影像系统对接升级3个接口，15个接口,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通开票能力迭代,2025,2025/09/01,2025/11/30,P1,1130,张小禹,付利华,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,26,12,216.67%,,,26,33800,,0.0,,,,S01425,海尔智税通,北京合力中税科技发展有限公司,成熟套件,全供应商承建,通用开发类,1,1,5,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
财资部8种票据根据国家财政部要求采集入账，生成标准格式的xbrl归档文件,财资数字化,数字化赋能领域,财资数字化,PTP场景智能化升级,智能档案升级,2025,2025/06/23,2025/09/30,P0,1230,陆立垚,刘振州,,,结项,,,D类-供应商池,Level2 - 会话模式辅助开发,,财资,25,,,,,,50000,2025/06/04,0.0,,,,S01684,全球电子档案管理中台,深圳市国信合成科技有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
总账、海外、资金、社群、往来驾驶舱建设,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,共享运营平台能力迭代,2025,2025/10/08,2025/12/31,P1,1030,刘晓红,侍晓宇,孟家男,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,,财资,25,10,250.00%,,,25,33750,,0.0,,,,S03217,稽核中心,北京思源时代科技有限公司,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,7,7:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
莱士一体化共享项目-收款认领,财资数字化,数字化赋能领域,财资数字化,莱士一体化共享项目,莱士一体化共享项目,2025,2025/04/01,2025/12/31,P0,1230,陆立垚,薛永娟,高强,高强,规划,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,,财资,500,10,5000.00%,大规模复用现有资产,,,,,1.5,33333%,,,S03548,收款管理,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/23,交付与质量中心,,是,规划,false,,,3.0,,2026/01/04 08:57,3.0,,陆立垚,会计数字化子链群,,,2025/07/23,,,,,,,,,,,,,,,,,,2025/07/23,交付与质量中心,,,规划,false,,,3.0,,2026/01/04 08:57,3.0,,陆立垚,,,2025/07/23,
"收款管理报表服务
收付记账单据汇总日清表、收付记账单据管理日控表、收付记账待处理单据汇总日清、银行流水挂接查询表、总分填平监控报表、领域趋势图、凭证号关联率、回单关联率等监控报表；",财资数字化,数字化赋能领域,财资数字化,资金能力迭代,收款管理能力完善,2025,2025/04/01,2025/09/30,P0,1130,王宗武,薛永娟,,,需求设计,,,D类-供应商池,Level2 - 会话模式辅助开发,,财资,25,,,,,25,30000,,0.0,,,,S03548,收款管理,中电金信软件有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
入职祝福,人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,,2025,2025/09/01,2025/10/27,P0,1030,梁祯,,尹相波,,需求设计,,8.26 方案还未确定，改为930？,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,25,25,100.00%,,,25,25000,,0.0,,,,S01360,iHR云,,,全供应商承建,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/29 09:16,0.0,,梁祯,共享关爱,,,2025/08/19,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/29 09:16,0.0,,梁祯,,,2025/08/19,
中长期管理-股权投资项目跟投跟投方案&跟投对象升级,人力数字化,数字化领域赋能,薪委会数字化,激励数字化专项,中长期管理-股权投资项目跟投跟投方案&跟投对象升级,2025,2025/05/23,2025/07/18,P1,730,孟方,孟方,"孙艳飞,王旭杰",,结项,,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,25,,,,,,,,0.0,,,,S03405,中长期激励管理,,,全自有承建,通用开发类,,,,,,:1:2,,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,开发完成,false,业务流程优化类,规则开发,0.0,,2026/01/04 08:57,0.0,,孟方,薪酬时间,,,2025/10/24,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,孟方,,,2025/10/24,
财务多线审批功能上线,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,财务多线审批功能上线,2025,2025/06/25,2025/06/30,P1,630,毕亚蕊,毕亚蕊,"刘曰波,王学晗",王学晗,结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,25,24,104.17%,,,,6580,,8.0,312%,,‍⁠⁠﻿﻿﻿‍⁠‌‍‌﻿‌‌‬‌‬‌⁠‍‬‌﻿⁠﻿S03401-绩效管理 - 办公平台云文档,S03401,绩效管理,青岛三合信息技术有限公司,,,,,,1,1,,:1:2,,是,1176,0.92,,是,,1,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,,,10.3,,2026/01/04 08:57,10.3,,赵晨,开发团队A,已确认,,2025/07/04,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,,,10.3,,2026/01/04 08:57,10.3,,赵晨,,,2025/07/04,
"3-C端候选人+内部员工整体AI客服助手【全新构建?】
",人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,2025校园秋招专项保障,2025,2025/07/09,2025/07/22,P0,730,史慧洁,史慧洁,陈震,"陈震
王旭杰",结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Level2 - 会话模式辅助开发,人力,25,15,166.67%,,,0,,,13.0,192%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,,开发完成,false,业务创新类,智能对话,21.0,,2026/01/04 08:57,21.0,,陈震,开发团队B,已确认,,2025/07/16,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,,开发完成,false,,,21.0,,2026/01/04 08:57,21.0,,陈震,,,2025/07/16,
招聘、组织、激励运维,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,招聘、组织、激励运维,2025,,,P0,730,史慧洁,史慧洁,陈震,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,人力,25,,,,,25,25000,,0.0,,,,,,,,全供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/15,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,史慧洁,规划配置与绩效激励,,,2025/07/15,,,,,,,,,,,,,,,,,,2025/07/15,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,史慧洁,,,2025/07/15,
用人预算模块：新增年度规划和月度规划的增/减（不含类岗库）配置功能,人力数字化,数字化领域赋能,薪委会数字化,组织数字化专项,781-用人预算配置升级,2025,2025/09/25,2025/10/31,P0,1030,路超,路超,"张骞,张启栋",张启栋,开发,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,25,,,,,14,15792,,16.0,156%,,,S02262,组织管理系统（链群系统）,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,,,2025/09/18,交付与质量中心,,,开发中,true,,,38.0,,2026/01/04 08:57,38.0,,路超,培训发展,,,2025/09/18,,,,,,,,,,,,,,,,,,2025/09/18,交付与质量中心,,,开发中,true,,,38.0,,2026/01/04 08:57,38.0,,路超,,,2025/09/18,
AI生成岗位说明书与AI组织诊断,人力数字化,数字化领域赋能,薪委会数字化,组织系统迭代,AI生成岗位说明书与AI组织诊断,2025,2025/04/01,2025/06/30,P0,630,梁祯,梁祯,"许世童,张洋洋",,结项,,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,人力,25,,,,,0,0,,0.0,,25712,S02262_组织系统,S02262,组织管理系统（链群系统）,,核心项目新建,自有+供应商承建,通用开发类,,,,,8,8:1:2,,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
海尔人33周迭代 海尔人社区需求V4.0.1 AI封面  上频道  部分,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,发现频道,2025,2025/08/07,2025/08/19,P1,830,王卫强,,"张旭,程相稳","张旭
程相稳",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,25,15,166.67%,,,,,,7.0,357%,,,S03174,海尔人,,,,,,,,,,:0:2,,,,,,,,,,,,,,,,,暂无,,2025/08/20,交付与质量中心,,是,开发完成,false,,,13.0,,2026/01/28 10:19,13.0,,王卫强,文化团队,,,2025/08/20,,,,,,,,,,,,,,,,暂无,,2025/08/20,交付与质量中心,,,开发完成,false,,,13.0,,2026/01/28 10:19,13.0,,王卫强,,,2025/08/20,
点歌台10月需求 点歌台需求文档V2.0.2,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,点歌台,2025,,2025/10/17,,1030,王卫强,,赵清岩,赵清岩,发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,25,20,125.00%,,,,,,7.5,333%,,,S03174,海尔人,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2025/10/11,交付与质量中心,,是,开发完成,false,,,19.0,,2026/01/28 15:48,19.0,,王卫强,文化团队,,,2025/10/11,,,,,,,,,,,,,,,,,,2025/10/11,交付与质量中心,,,开发完成,false,,,19.0,,2026/01/28 15:48,19.0,,王卫强,,,2025/10/11,
AI全场景推广,财资数字化,数字化赋能领域,财资数字化,PTP场景智能化升级,国内报销报账数字人建设,2025,2025/04/14,2025/09/30,P0,930,刘晓红,付文芯,,周小帅,验证,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,,财资,24,,,,,24,28800,2025/06/04,11.0,218%,,,S02034,我要报销,北京元年科技股份有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,,,20.0,,2026/01/04 08:57,20.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,20.0,,2026/01/04 08:57,20.0,,赵晨,,,2025/07/08,
国内PBC报表开发:应收款项融资等5张账龄表,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,HFM功能优化升级,2025,2025/06/30,2025/07/28,P0,730,陆立垚,高晓艺,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,24,,,,,,,2025/06/24,0.0,,,,S00806,海尔全球合并报表平台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,会计数字化子链群,,,2025/11/05,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,,,2025/11/05,
卡奥斯、雷神、物流、U9C和海外三个账套切换往来明细,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,HFM功能优化升级,2025,2025/08/13,2025/09/26,P0,930,陆立垚,高晓艺,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,24,,,,,,,2025/08/08,0.0,,,,S00806,海尔全球合并报表平台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,会计数字化子链群,,,2025/11/05,,,,,,,,,,,,,,,,,,2025/11/05,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,,,2025/11/05,
数电过渡方案优化升级（新电局月度迭代导入模版）,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通开票能力迭代,2025,2025/03/21,2025/06/28,P0,630,张小禹,付利华,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,24,,,,,24,31200,2025/06/04,0.0,,,,S01425,海尔智税通,北京合力中税科技发展有限公司,成熟套件,全供应商承建,通用开发类,1,1,5,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
单库升级-指标考核标准维护,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,单库升级,2025,2025/11/25,2025/12/31,P1,1230,毕亚蕊,毕亚蕊,"刘曰波,王学晗",,规划,,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,24,8,300.00%,,,8,8000,,0.0,,,,,,,,自有+供应商承建,通用开发类,,,,,,:1:2,,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,毕亚蕊,规划配置与绩效激励,,,2025/10/24,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,毕亚蕊,,,2025/10/24,
911-实习生（日常）流程新建筛选配置器,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,其他需求,2025,,,,1130,,,范斌,,开发设计,,,,,,,24,,,,,,,,0.0,,,,,,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2025/11/07,非交付与质量中心,,,开发中,false,,,0.0,,2026/01/04 08:57,0.0,,梁文嘉,规划配置与绩效激励,,,2025/11/07,,,,,,,,,,,,,,,,,,2025/11/07,非交付与质量中心,,,开发中,false,,,0.0,,2026/01/04 08:57,0.0,,梁文嘉,,,2025/11/07,
发展成长小助手升级迭代,人力数字化,数字化领域赋能,薪委会数字化,发展数字化专项,发展成长小助手升级迭代,2025,2025/09/01,2025/09/30,P2,930,李运岭,李运岭,刘国帅,刘国帅,结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,人力,23,12.5,184.00%,,,,,,12.5,184%,,,S03075,创客发展平台,,核心项目新建,全自有承建,通用开发类,1.7,3,0,0,10,10:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发完成,false,,,23.0,,2026/01/04 08:57,23.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,,,23.0,,2026/01/04 08:57,23.0,,赵晨,,,2025/07/04,
单库升级-支持hr批量导入单,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,单库升级,2025,2025/11/25,2025/12/31,P1,1230,毕亚蕊,毕亚蕊,"刘曰波,王学晗",,规划,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,23,8,287.50%,,,8,8000,,0.0,,,,S03401,绩效管理,,核心项目重大迭代,自有+供应商承建,通用开发类,1.7,3,2,,5,5:1:2,,是,1176,0.92,,是,,1,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,已确认,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
绩效分析看板及绩效洞察分析报告智能体,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,绩效分析看板,2025,2025/07/30,2025/09/30,P2,930,毕亚蕊,毕亚蕊,"刘曰波,王学晗",,规划,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,23,8,287.50%,,,,,,0.0,,,,S03401,绩效管理,,核心项目新建,全自有承建,通用开发类,1.7,3,2,0,5,5:1:2,,是,1176,0.92,,是,,1,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,已确认,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
线下培训管理功能-大学生线下项目内容创建与培训数据导入,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,366-线下培训管理功能,2025,2025/07/01,2025/07/30,P0,730,路超,路超,"辛锐,张启栋",辛锐,结项,100%,,B类-面向特性交付,Level3 - 资产生效模式,,人力,23,20,115.00%,,,6,0,,14.0,164%,,S01377-学习平台,S01377,创客学习平台,,,自有+供应商承建,通用开发类,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/07/14,交付与质量中心,,,开发完成,false,业务流程优化类,表单开发,66.0,,2026/01/04 08:57,66.0,,宋佳峰,培训发展,,,2025/07/14,,,,,,,,,,,,,,,,暂无,,2025/07/14,交付与质量中心,,,开发完成,false,,,66.0,,2026/01/04 08:57,66.0,,宋佳峰,,,2025/07/14,
